Charlotte,NC 0
Cordova,SC 124.079
Limestone,TN 124.1
Lowndesville,SC 124.103
Cerro Gordo,NC 124.281
Seneca,SC 124.372
Tuckasegee,NC 124.381
Iva,SC 124.381
Danville,VA 124.417
Waynesville,NC 124.473
Salem,SC 124.512
Gresham,SC 124.59
Willow Spring,NC 124.712
Windsor,SC 124.715
Clyde,NC 124.867
Dublin,NC 124.883
Autryville,NC 125.082
Vance,SC 125.117
Townville,SC 125.344
Bladenboro,NC 125.375
Montmorenci,SC 125.418
Galivants Ferry,SC 125.512
Blountville,TN 125.826
Parksville,SC 125.968
Bristol,VA 126.104
Salters,SC 126.346
Chuckey,TN 126.738
West Union,SC 126.779
Graniteville,SC 126.851
Tamassee,SC 126.88
Mount Carmel,SC 126.933
Glenville,NC 127.037
Rowesville,SC 127.123
Modoc,SC 127.131
Bahama,NC 127.166
Ceres,VA 127.358
Chadbourn,NC 127.6
Dry Fork,VA 127.675
Riner,VA 127.684
Cope,SC 127.869
Balsam,NC 128.111
Cashiers,NC 128.248
Green Sea,SC 128.249
Nesmith,SC 128.354
Tannersville,VA 128.491
Pulaski,VA 128.587
Bowman,SC 128.638
Aynor,SC 128.674
Richland,SC 128.82
Dunn,NC 128.883
Milton,NC 128.927
Callands,VA 129.273
Fall Branch,TN 129.366
Saltville,VA 129.402
Blackville,SC 129.423
Gloverville,SC 129.449
Afton,TN 129.706
Warrenville,SC 129.742
Williston,SC 129.932
Elko,SC 130.029
North Augusta,SC 130.154
Broadford,VA 130.164
Maggie Valley,NC 130.197
Clarks Hill,SC 130.234
Rougemont,NC 130.244
Garner,NC 130.276
Raleigh,NC 130.279
Pineville,SC 130.312
Pilot,VA 130.335
Langley,SC 130.562
Newbern,VA 130.621
Ringgold,VA 130.746
Timberlake,NC 130.758
Del Rio,TN 130.779
Roseboro,NC 130.936
Walhalla,SC 131.131
Eutawville,SC 131.206
Greeneville,TN 131.3
Fair Play,SC 131.557
Hemingway,SC 131.561
Check,VA 131.575
Mendota,VA 131.729
Hartwell,GA 131.779
Semora,NC 131.86
Bath,SC 131.88
Benson,NC 132.101
Denmark,SC 132.109
Rocky Mount,VA 132.228
Butner,NC 132.282
Lane,SC 132.493
Radford,VA 132.635
Copper Hill,VA 132.67
Clearwater,SC 132.744
Christiansburg,VA 133.076
Cullowhee,NC 133.132
Hiltons,VA 133.296
New Ellenton,SC 133.355
Dublin,VA 133.474
Holly Hill,SC 133.566
Lincolnton,GA 133.566
Salemburg,NC 133.635
Belspring,VA 133.692
Clarkton,NC 133.721
Tazewell,VA 133.783
Callaway,VA 134.026
Russellville,SC 134.104
Elizabethtown,NC 134.359
Sylva,NC 134.603
Elberton,GA 134.609
Parrott,VA 134.713
Bland,VA 134.774
Hartford,TN 134.791
Highlands,NC 134.842
Webster,NC 134.862
New River,VA 135.02
Blairs,VA 135.066
Mountain Rest,SC 135.107
Bamberg,SC 135.169
Beech Island,SC 135.282
Sutherlin,VA 135.297
Creedmoor,NC 135.368
Roxboro,NC 135.525
Cedar Bluff,VA 135.583
Cross,SC 135.678
Penhook,VA 135.944
Lebanon,VA 135.983
Brunswick,NC 136.164
Rosedale,VA 136.309
Pounding Mill,VA 136.319
Branchville,SC 136.358
Loris,SC 136.435
Bastian,VA 136.587
Parrottsville,TN 136.831
Stem,NC 136.834
Evans,GA 137.01
Keeling,VA 137.055
Dillsboro,NC 137.109
Chatham,VA 137.135
Glade Hill,VA 137.315
Shawsville,VA 137.487
Harleyville,SC 137.499
Bowersville,GA 137.531
Whiteville,NC 137.567
Burkes Garden,VA 137.573
Clayton,NC 137.784
Redwood,VA 137.82
Westminster,SC 137.86
Mosheim,TN 137.914
Conway,SC 138.08
Knightdale,NC 138.126
Nickelsville,VA 138.379
Wake Forest,NC 138.454
Tabor City,NC 138.479
Cluster Springs,VA 138.522
Lavonia,GA 138.531
Weber City,VA 138.615
Castlewood,VA 138.692
Garland,NC 138.733
Dewy Rose,GA 138.865
Alton,VA 138.936
Saint Stephen,SC 139.027
Mount Carmel,TN 139.073
Hilda,SC 139.086
Four Oaks,NC 139.124
Clarendon,NC 139.182
Newton Grove,NC 139.215
Cherokee,NC 139.39
Appling,GA 139.604
Andrews,SC 139.641
Whittier,NC 139.932
Midway,TN 139.992
Tignall,GA 140.054
Rocky Gap,VA 140.075
Union Hall,VA 140.161
Bent Mountain,VA 140.2
Hallsboro,NC 140.239
Boones Mill,VA 140.313
Pinopolis,SC 140.319
Cosby,TN 140.826
Reevesville,SC 140.837
Doran,VA 140.866
North Tazewell,VA 140.872
Smithfield,NC 140.93
Canon,GA 140.953
Saint George,SC 141.019
Barnwell,SC 141.135
Jackson,SC 141.199
Staffordsville,VA 141.224
Pearisburg,VA 141.255
Clinton,NC 141.339
Church Hill,TN 141.348
Sandy Level,VA 141.941
Rolesville,NC 142.07
Scaly Mountain,NC 142.078
Newport,TN 142.103
Olar,SC 142.11
Honaker,VA 142.245
Bluefield,VA 142.263
Long Creek,SC 142.282
Wirtz,VA 142.481
Swords Creek,VA 142.568
Richlands,VA 142.573
Bandy,VA 142.612
Wilsons Mills,NC 142.781
Wendell,NC 142.942
Bybee,TN 143.022
Elliston,VA 143.247
Council,NC 143.281
Red Ash,VA 143.422
Nemours,WV 143.45
Mc Coy,VA 143.584
Bulls Gap,TN 143.676
Gracewood,GA 143.87
Mohawk,TN 143.946
Blacksburg,VA 144.1
Cleveland,VA 144.155
Martin,GA 144.275
Bishop,VA 144.287
